"","x"
"DOCK7",0.0440226496833922
"DOK5",0.0459764049919579
"DRGX",0.0355256371166593
"DTHD1",0.0429457999997397
"DUOXA1",0.0326593476078569
"DUSP10",0.0287056053225386
"DUSP18",0.0274368451052842
"DUSP4",0.0421694392084369
"DUSP5",0.0474881839172335
"DUSP8",0.0394405255115592
"DYRK1B",0.0286918854855544
"DYRK3",0.0403090470838836
"EBI3",0.0448515563833389
"ECE1",0.0363142187936626
"EDARADD",0.0421423333654097
"EED",0.0420347641707428
"EGR2",0.0332177682273246
"EGR4",0.027197746092345
"EHD4",0.0408606361197879
"EIF4ENIF1",0.0487745692690574
"ELL2",0.0482442239290991
"EMP1",0.041961069941619
"EMX1",0.0322874440877845
"ENTPD1",0.0468868729421109
"EPAS1",0.0464663442482703
"EPB41L1",0.0370825073325528
"EPB41L4B",0.0448836255079181
"EPX",0.0341811417632424
"ERBB2",0.033723015898309
"ERC2",0.0426943374387656
"ETV4",0.0309099800896737
"ETV5",0.0343219429754023
"EVI5",0.0365628432150017
"FADS3",0.0476334897291365
"FAM167A",0.0304453148808527
"FAM20C",0.0381301405067418
"FAM24B",0.0240920810175753
"FAM3C",0.0466604744838829
"FAM43A",0.0441833514046072
"FAM46A",0.0403654713654042
"FAM49A",0.0418633497143417
"FAM89B",0.0430317078859497
"FASLG",0.0451347850284991
"FBXO32",0.0440426050449656
"FGF2",0.0421922282389201
"FGGY",0.0466160286799457
"FILIP1L",0.0362208826768387
"FLVCR2",0.0282852408336549
"FN1",0.0402489506361413
"FOSB",0.0284614499227798
"FOXL1",0.0422406031772423
"FRMD6",0.0455065431670501
"FST",0.0419398415237963
"FXYD6",0.0431883270219715
"G0S2",0.044929200382676
"GABARAPL1",0.0351736449726564
"GAL3ST2",0.0236663430583323
"GATA2",0.0409012659883562
"GDF10",0.0462297184013369
"GEM",0.0443141442061303
"GK",0.0425819299628964
"GNAI1",0.0467501055304768
"GNG4",0.0393373742251482
"GNLY",0.0482428946782336
"GOLIM4",0.0430244222274625
"GOLM1",0.0400702819698662
"GORAB",0.0305781339288717
"GPC4",0.0401730692261199
"GPR35",0.0345318662489445
"GPT2",0.0343166172620906
"GRAMD2B",0.0448671188743172
"GZMB",0.0441844842162874
"GZMK",0.0241984829101105
"H1F0",0.0446162364089104
"HAL",0.0176457135233564
"HEATR5A",0.0422365774795029
"HECTD2",0.0390351010928634
"HECW2",0.0425561292896455
"HELZ2",0.0296131123052439
"HERPUD1",0.0457038093692881
"HGF",0.0304380658081837
"HIST2H4B",0.0295637470797546
"HIVEP1",0.0397713443165519
"HIVEP3",0.0401306124221592
"HLF",0.042892484659605
"HLX",0.0390459253123603
"HMGCS1",0.0409455332479709
"HMOX1",0.0457066715313023
"HMSD",0.0454433322036461
"HMX3",0.0361492951101397
"HNF1B",0.0362316251652523
"HOXB6",0.0394287325993299
"HPSE",0.0332671746340718
"ICAM1",0.0432739792361303
"IDS",0.0449888858018014
"IER5L",0.0377186618140055
"IFFO2",0.0407057789478985
"IFIT3",0.0268787647319328
"IFNG",0.0437502392870288
"IFT20",0.0329371685809275
"IGF1",0.0434967015464363
"IGFLR1",0.0356891217892044
"IGLON5",0.0472130863178176
"IL12RB2",0.0475157520046205
"IL17RE",0.0425925328364574
"IL1A",0.0451779160064238
"IL1RAP",0.0457607499606771
"IL21R",0.0474410441561047
"IL26",0.0425354579325123
"IL2RA",0.0419387102888835
"IL36G",0.0294469768307884
"ILDR1",0.0400922421297321
"ILDR2",0.0424700711382932
"ING3",0.0467221124774649
"INHBA",0.041215389227563
"INPP1",0.0423020939957565
"INPP5F",0.0342632352316
"INSC",0.0440108313624313
"INSIG1",0.0375332233714868
"IQCD",0.0415748314739718
"IQCJ.SCHIP1",0.0452820818850698
"IRF2BPL",0.0301694348189116
"IRGQ",0.0333024546006447
"IRS2",0.0238278218362008
"IRS4",0.0449671087498075
"IRX5",0.0293730402085643
"ISL2",0.0385932583688424
"ITGA9",0.0450161328654593
"ITGAX",0.0398233828573589
"ITPR1",0.04730428032653
"ITPRIPL2",0.0466365116472401
"JUN",0.0395097237635338
"KCNK1",0.0272931898111695
"KDELR3",0.0409976472443025
"KDM6B",0.0356158538841086
"KIAA1211",0.041121846828415
"KIAA1217",0.041179077070755
"KIAA1324",0.0454965666974268
"KIF1A",0.0189162275373698
"KIF1BP",0.0318710055519141
"KIF21A",0.0348158664739721
"KIF7",0.0422276243615871
"KIF9",0.0310350884399343
"KIR2DL4",0.0453002280194349
"KIR3DX1",0.0392604187559005
"KLF4",0.0353945020921252
"KLF6",0.0157863672111656
"KLHL25",0.0440599401990399
"KLLN",0.0353737876565372
"KLRC1",0.0461940414184956
"KLRC2",0.0442379258193311
"KLRC3",0.0458580998107464
"KLRD1",0.0461970089269448
"KRT3",0.0350142792524769
"KRT79",0.0443234740899563
"KRT80",0.028218207618856
"KSR1",0.0419656523534505
"LAG3",0.0406524982661529
"LAIR2",0.0341424871218094
"LAYN",0.0371804743036932
"LETM2",0.0259964641110721
"LHFPL3",0.0431395908783088
"LHFPL6",0.0458705311633181
"LILRB1",0.0460046475430066
"LIMA1",0.0380299298108528
"LIN7A",0.0438400866744523
"LMAN1",0.0411870881864021
"LMCD1",0.0381461529990025
"LMNA",0.0452884915998322
"LPL",0.0404221995401701
"LRRC39",0.0185309712157042
"LRRC8B",0.0472326359634416
"LYN",0.0458519925651129
"LYST",0.0393341283293635
"MAGI1",0.0444517567251894
"MAP1LC3A",0.0452184013833316
"MAPK8",0.0447256133988309
"MATN4",0.0372046473433482
"MB21D2",0.0419168265904115
"MBNL2",0.0475375503868301
"MCOLN2",0.0471672707750299
"MCTP2",0.0481391002523497
"ME3",0.0451119521186064
"MEF2C",0.0431177144147805
"MEST",0.0442552137176447
"METRNL",0.0439200375630352
"MICAL2",0.0470862894246703
"MICALCL",0.0438225752915951
"MLH3",0.0381689532058104
"MMP12",0.0376279405522114
"MMP9",0.0195660822418709
"MORN2",0.0365884458304067
"MOXD1",0.0338026398531306
"MPZL3",0.037871576515858
"MRGPRX2",0.0324699890768812
"MSC",0.0248082203281741
"MT1E",0.0329253650926236
"MT1X",0.0296532492046744
"MT2A",0.0469660141692006
"MTHFD2",0.0430321150480415
"MTRNR2L1",0.0243379302354199
"MTRNR2L13",0.0252187217281868
"MTSS1",0.0459484862781845
"MTURN",0.0415112782786951
"MTUS1",0.0429410204258546
"MYADM",0.0284059336881867
"MYBPC3",0.0332626095823654
"MYH6",0.0474159646687644
"MYH7",0.0466756434342674
"MYL3",0.0336086605228449
"MYL5",0.0212908978197982
"MYO1D",0.0421203012709766
"MYO7A",0.0394702280411375
"MYOF",0.0333998219353006
"NAB1",0.0479040282194985
"NAMPT",0.0412118971441385
"NCALD",0.0467528234359113
"NCAM1",0.0324230297427319
"NCS1",0.0372433561728191
"NELL2",0.0363375261946654
"NF1",0.0457469851132723
"NFKB2",0.036680779837236
"NFKBIA",0.0444959361051484
"NHS",0.0251279299168449
"NID1",0.0347620827360249
"NINJ1",0.0404316493175862
"NLRP14",0.041839610128055
"NMU",0.0400506361774574
"NNAT",0.0396874930824956
"NOP14",0.043370189271769
"NPHP1",0.0337288332674246
"NR4A1",0.0181381547653
"NR4A2",0.027566205959528
"NR4A3",0.0238960143213676
"NRIP3",0.0394357723215254
"NSUN7",0.0450116602009225
"NTRK1",0.0446957085528003
"NUAK1",0.0381267805404867
"OLIG3",0.0386219937742199
"OPLAH",0.0400616679849818
"OSR2",0.034247088098538
"OTUD7B",0.0452070536799708
"OVOL3",0.0257618245148268
"P2RY1",0.0313500797590841
"P2RY14",0.0353836300999646
"PARD3",0.040277298625718
"PAX5",0.0410600016825514
"PDE7B",0.0350031458090865
