"","x"
"1242","H1F0"
"1243","H2AFY2"
"1244","HAAO"
"1245","HABP4"
"1246","HACD4"
"1247","HAGHL"
"1248","HAL"
"1249","HARBI1"
"1250","HASPIN"
"1251","HAVCR1"
"1252","HBB"
"1253","HBEGF"
"1254","HCK"
"1255","HDAC7"
"1256","HDAC9"
"1257","HEATR4"
"1258","HEATR5A"
"1259","HECTD2"
"1260","HECW2"
"1261","HEG1"
"1262","HELZ2"
"1263","HERC4"
"1264","HERC5"
"1265","HERC6"
"1266","HERPUD1"
"1267","HES1"
"1268","HES2"
"1269","HES4"
"1270","HES7"
"1271","HESX1"
"1272","HEXIM2"
"1273","HGF"
"1274","HGH1"
"1275","HGSNAT"
"1276","HILPDA"
"1277","HIP1R"
"1278","HIST1H1D"
"1279","HIST1H2AE"
"1280","HIST1H2AG"
"1281","HIST1H2AI"
"1282","HIST1H2AK"
"1283","HIST1H2BD"
"1284","HIST1H2BG"
"1285","HIST1H2BO"
"1286","HIST1H3H"
"1287","HIST1H4J"
"1288","HIST2H2AA3"
"1289","HIST2H2AC"
"1290","HIST2H4A"
"1291","HIST2H4B"
"1292","HIST3H3"
"1293","HIVEP1"
"1294","HIVEP3"
"1295","HK2"
"1296","HK3"
"1297","HKDC1"
"1298","HLF"
"1299","HLX"
"1300","HMGCR"
"1301","HMGCS1"
"1302","HMGN2"
"1303","HMHB1"
"1304","HMOX1"
"1305","HMSD"
"1306","HMX2"
"1307","HMX3"
"1308","HNF1B"
"1309","HNMT"
"1310","HNRNPAB"
"1311","HOMER1"
"1312","HOMER2"
"1313","HOMER3"
"1314","HOMEZ"
"1315","HOOK1"
"1316","HOOK2"
"1317","HORMAD2"
"1318","HOXB13"
"1319","HOXB6"
"1320","HOXB7"
"1321","HOXB9"
"1322","HPCA"
"1323","HPGD"
"1324","HPGDS"
"1325","HPSE"
"1326","HRASLS2"
"1327","HRH2"
"1328","HS3ST3B1"
"1329","HS6ST2"
"1330","HSD11B1L"
"1331","HSD17B1"
"1332","HSD17B14"
"1333","HSD3B7"
"1334","HSF2BP"
"1335","HSF4"
"1336","HSP90B1"
"1337","HSPA1A"
"1338","HSPA1B"
"1339","HSPA2"
"1340","HSPA4L"
"1341","HSPA5"
"1342","HSPB1"
"1343","HSPE1-MOB4"
"1344","HSPG2"
"1345","HTR2B"
"1346","HTRA1"
"1347","HYLS1"
"1348","HYOU1"
"1349","HYPK"
"1350","IBA57"
"1351","ICAM1"
"1352","ICAM2"
"1353","ICAM4"
"1354","ICAM5"
"1355","ICOSLG"
"1356","ID1"
"1357","ID3"
"1358","IDNK"
"1359","IDO1"
"1360","IDS"
"1361","IER2"
"1362","IER3"
"1363","IER5L"
"1364","IFFO2"
"1365","IFI44"
"1366","IFI44L"
"1367","IFI6"
"1368","IFIT1"
"1369","IFIT2"
"1370","IFIT3"
"1371","IFITM2"
