,CD19_Donor76_Day11,CD19_Donor76_Day15,CD19_Donor76_Day21,CD19_Donor86_Day11,CD19_Donor86_Day15,CD19_Donor86_Day21,CD19_Donor90_Day11,CD19_Donor90_Day15,CD19_Donor90_Day21,Control_Donor76_Day0,Control_Donor86_Day0,Control_Donor90_Day0,HA_Donor76_Day11,HA_Donor76_Day15,HA_Donor76_Day21,HA_Donor86_Day11,HA_Donor86_Day15,HA_Donor86_Day21,HA_Donor90_Day11,HA_Donor90_Day15,HA_Donor90_Day21,cluster,Genesymbol,
USP43,-0.85526182,-0.585056531,-1.067737769,-1.12155988,-0.829003149,-1.073397607,-0.394004736,-0.739958204,-0.944845301,-1.006067928,0.212514423,-0.065871041,0.883725261,1.006586647,0.553591298,0.091972341,1.380412313,0.022551001,1.506572723,2.277900101,0.746937858,C3,USP43,ENSG00000154914.16
RAB6B,-0.929981951,-0.847851523,-0.854116706,-1.014761301,-0.853842303,-0.587092439,-1.001993101,-0.860749074,-0.829158223,-0.208454682,-0.727448028,-0.463544978,0.37877382,0.443154416,1.124976083,0.688781515,1.129818533,2.021949676,0.430853849,1.061817943,1.898868473,C5,RAB6B,ENSG00000154917.10
ACSS1,1.372165207,-0.278767787,0.664562558,1.090182709,-0.137139857,0.918796598,1.472121588,0.632537223,0.666830033,0.010600968,0.901640086,1.546032891,-1.158109978,-0.74026731,-1.536967284,-0.606309287,-1.139767191,-1.035240271,-0.802137189,-0.962851455,-0.877912253,C2,ACSS1,ENSG00000154930.14
CYP2U1,1.454368873,0.27128474,-1.060788643,1.123587266,-0.347597467,-0.257771598,1.174059043,0.585717713,-0.282790165,-0.389490605,1.821063672,1.871001579,-0.582026644,-0.100584474,-0.997754842,0.461868723,-1.010550135,-0.776987541,-0.732903891,-0.74175858,-1.481947024,C2,CYP2U1,ENSG00000155016.17
ODF1,-0.302702486,-0.63852506,-0.63852506,3.437909277,-0.326452746,-0.63852506,-0.63852506,-0.348766363,-0.63852506,-0.63852506,-0.63852506,-0.63852506,-0.63852506,-0.332571696,1.338888012,1.073192213,0.293813362,-0.333300151,0.916345399,0.314968903,0.015401815,C1,ODF1,ENSG00000155087.3
KLF10,-0.400151615,-0.415407723,2.169342975,-0.713403108,-0.593211283,1.993306127,-0.203414102,-0.128264761,2.32227225,-0.532946848,-0.081239652,0.921422603,-0.868359297,-1.143875407,-0.373646307,-0.293024221,-0.668886746,0.115635634,-0.563898813,-0.672976783,0.130727077,C4,KLF10,ENSG00000155090.14
AGPAT5,0.67739483,0.411552804,0.116072387,0.211881679,0.510838926,0.033833393,0.562999852,0.322918469,0.02467454,-2.830969912,-1.946221115,-1.819564685,0.825246454,-0.32204802,0.874701437,0.895950558,-0.195174721,0.338871282,0.978040521,0.152922472,0.176078849,C1,AGPAT5,ENSG00000155189.11
GOLGA7B,1.754984313,0.727990495,0.367335953,1.065652306,0.683310381,0.420338108,1.555528448,1.041604581,0.258151081,0.289599352,0.292247379,0.863927547,-1.145673974,-1.286404544,-1.092736299,-0.73824485,-0.834152518,-1.287907475,-0.786256614,-1.068188283,-1.081105388,C2,GOLGA7B,ENSG00000155265.10
SAMSN1,-0.047467512,0.816946178,1.619419954,-0.286898033,0.454700828,1.236791737,-0.290387,0.239127288,1.294682653,-2.289754112,-1.733837767,-1.767240744,-0.238533372,0.257453405,0.723823239,-0.411825856,-0.192538797,0.660589453,-0.429103762,-0.08280305,0.46685527,C4,SAMSN1,ENSG00000155307.17
GRAMD2B,-1.846313391,-1.021769664,0.166931438,-0.969131005,0.494189476,0.290297066,-1.131669986,-0.703276371,0.088820981,-1.841994293,-0.147939634,-0.201226269,-0.121606198,0.639302118,1.657717249,-0.057195398,0.960594117,1.542047665,0.025679683,0.798203043,1.378339372,C5,GRAMD2B,ENSG00000155324.9
PPM1J,-0.795702111,-0.706572237,-0.479007054,-0.595515219,-0.914602148,-0.914602148,-0.702194033,-0.814676821,-0.385654938,-0.914602148,-0.914602148,-0.914602148,0.51538704,0.253723521,1.863485882,0.433260723,0.822547978,0.646105979,2.276750359,1.029947799,1.211123873,C3,PPM1J,ENSG00000155367.15
LARP1,0.057934484,1.244735334,0.212881919,-0.522715251,0.957799563,0.220373902,-0.11845841,1.207620661,0.171246093,-3.075094674,-1.817872822,-0.866253218,0.13241976,0.481793298,0.373922842,-0.136119544,0.920812909,-0.235415988,0.208147376,0.850434034,-0.268192268,C4,LARP1,ENSG00000155506.16
MIER3,-0.80644757,0.708184158,0.428250527,-2.258294671,0.458480172,0.754724237,-0.457077714,0.537432835,0.482162447,-2.444662462,-1.050553995,0.527384828,-0.091866154,0.096248189,1.270411192,-0.071106288,0.469323235,1.373618107,-0.578808408,-0.123616934,0.776214269,C4,MIER3,ENSG00000155545.19
PIK3AP1,-1.820355058,-1.435153385,-0.063264773,-1.278252431,-0.749075311,-0.286441229,-1.09598638,-0.59162508,0.145286368,-0.611167899,-0.053999731,1.060759697,-0.25979433,-0.455678978,0.819677172,0.905045452,0.71966291,1.329101526,1.257483954,0.682036647,1.781740858,C5,PIK3AP1,ENSG00000155629.14
RBM45,0.860815503,-0.351163525,-0.370669383,0.799140601,1.402048695,0.956598188,-0.217296428,0.78759377,0.330166278,1.766198127,-0.090644473,-0.459860845,-2.392746598,-0.153898539,-0.006458713,-0.158065565,0.263757944,-0.212295665,-2.258013961,-0.603507601,0.108302191,C2,RBM45,ENSG00000155636.14
VSIG4,-0.410831348,-0.281860664,-0.969463613,-0.117609807,-0.802677947,-0.969463613,0.018837273,0.517934437,-0.969463613,-0.969463613,0.996903951,3.189308637,-0.365746299,0.307845606,0.570800474,-0.969463613,-0.604372827,0.085042252,0.925077577,-0.239706088,1.058372836,C1,VSIG4,ENSG00000155659.14
PPARGC1B,0.950379265,2.58050457,0.006417713,-0.082176063,1.775901742,-0.068385333,0.28253593,1.688413536,-0.181448408,-0.650037241,-0.499938296,0.498279261,-0.489263394,-0.471364721,-0.76049735,-0.832481742,-0.468830114,-1.241207927,-0.48667559,-0.297267945,-1.252857893,C2,PPARGC1B,ENSG00000155846.16
PXYLP1,0.115856364,-0.592214078,-1.878264558,-0.68313663,-0.525639164,-0.735978132,-0.232260277,-0.039631342,-0.990078124,-2.025789522,-0.931999203,-0.043108932,0.948600921,0.848865169,0.947528126,1.264414726,1.301691808,0.818437115,1.187179716,0.893869787,0.351656231,C3,PXYLP1,ENSG00000155893.12
SLA,0.331039489,0.279294159,1.63841745,-0.154526408,-0.016414927,1.788389789,0.487133863,0.497017817,1.85364152,-2.509121016,-1.32258054,-0.48538096,-0.099205801,-0.072585893,-0.027267046,0.009079971,-0.939091654,0.035503997,-0.125334171,-0.816139197,-0.351870442,C4,SLA,ENSG00000155926.13
PSD3,-0.908279541,-0.521766999,-0.382729551,-0.648457322,-0.448260279,-0.863851445,-0.805265875,-0.530024314,0.366376445,-0.947023117,-0.891597907,-0.917044913,-0.126004238,-0.077358251,0.118037397,-0.377471509,1.22647093,0.961863971,2.051135882,2.024251042,1.696999592,C3,PSD3,ENSG00000156011.16
KCNMA1,-1.032361789,0.47944742,-0.6890844,-1.510391207,-0.59456604,-0.939836887,0.115133557,-0.398759065,-0.389940564,-1.642634832,-0.126667718,-0.920207152,0.10692174,1.251159473,-0.37267202,0.328671485,0.611388397,1.178385292,1.984252854,1.177572024,1.384189431,C3,KCNMA1,ENSG00000156113.22
BATF,-0.431569055,0.038866793,-0.033012247,-0.213702017,0.850878341,0.770124064,0.051321775,1.011968491,0.666664916,-2.453124394,-1.962211115,-1.966490888,-0.499776732,0.227312273,0.644885951,0.01252083,0.905160032,0.821415258,0.155546297,0.597136178,0.806085246,C4,BATF,ENSG00000156127.6
DRAM2,0.807012341,-0.292606814,-0.580181336,1.018129825,0.857117085,-0.045871493,0.61467972,-0.672289291,-0.82887292,-3.17438396,-0.517642779,-1.194836796,1.044802898,1.236658611,0.119845041,0.613706693,0.352177756,0.839958173,-0.051574886,-0.140865029,-0.004962839,C1,DRAM2,ENSG00000156171.14
CFAP161,1.256781008,0.251534055,0.648112288,1.657749627,0.211036228,0.693045856,0.243408717,-0.409768219,2.684416276,-0.983144811,0.329755043,-0.299011891,-0.983144811,-0.983144811,-0.983144811,-0.983144811,-0.326215675,-0.983144811,-0.983144811,-0.311054399,0.25222476,C2,CFAP161,ENSG00000156206.13
CXCL13,-0.377234771,-0.434531425,-0.481228051,-0.203446259,-0.575007529,-0.254696635,-0.283914998,-0.403970578,-0.273055005,-0.575007529,-0.575007529,-0.436601783,-0.463170876,-0.309844576,0.170769368,-0.575007529,-0.122456248,1.531565204,-0.370273111,1.481031908,3.531087954,C5,CXCL13,ENSG00000156234.7
TSPAN7,-0.77666678,1.882297203,-1.112949122,-0.442539778,1.171372795,-1.600014198,0.994653548,0.050637342,-1.259622601,1.109020752,-0.507913738,0.169407722,-0.575486361,-0.085685288,-0.96756219,0.372464438,-0.92524796,0.536913108,1.114668395,-0.629452274,1.481704986,C1,TSPAN7,ENSG00000156298.12
TIAM1,-0.600453352,-0.464436637,0.024273814,-0.398065431,0.757567128,0.842810577,-0.494019977,1.345597659,0.555580042,-2.505895497,-1.45196113,-2.042314408,0.348499357,0.186007363,0.783989146,0.422564369,0.54131261,1.15551029,0.194576389,0.150489442,0.648368247,C4,TIAM1,ENSG00000156299.13
RPGR,-0.758598633,0.525359776,0.858438382,-0.351670902,0.716454516,0.389950568,-0.896444817,0.332219457,0.289614801,-2.619995616,-0.201509539,0.910129963,-1.037646256,-0.054551123,1.734442937,-1.201568423,0.020626445,1.483351889,-0.899096408,0.205123153,0.55536983,C4,RPGR,ENSG00000156313.12
SFXN2,-0.502314708,0.189526263,0.393437093,-1.000997291,0.546473606,0.322516142,-0.783096614,0.180406898,0.86645479,-2.391415365,-1.947684381,-1.093172523,0.407801276,0.941580228,1.40059703,-0.72966014,0.690613339,0.988926338,0.104760657,0.83822197,0.577025391,C4,SFXN2,ENSG00000156398.12
HKDC1,1.754211824,-0.033758487,0.112384534,1.623415968,0.560346858,0.317610068,1.995173823,0.840152816,-0.292735095,-0.127796629,1.174205877,0.158023228,-0.83867454,-0.925511245,-0.924173953,-0.37605858,-0.931882401,-0.873292663,-1.077665081,-0.92294498,-1.211031344,C2,HKDC1,ENSG00000156510.12
CD109,0.06750791,0.713112379,1.115614899,-0.48587891,0.21630123,0.779458801,-0.11614834,0.233610442,0.611366876,-2.331897431,-2.250427038,-2.157752643,0.621520362,0.584315507,0.47762872,0.360082803,0.389835451,0.61862089,0.325442419,0.114529336,0.113156337,C4,CD109,ENSG00000156535.13
RAB11FIP1,0.075630395,0.275782423,0.748370096,-0.230798502,-0.132335432,0.77435178,-0.043080933,-0.207229303,0.837038312,-2.543932401,-2.326314919,-1.630423443,0.263863278,0.315054179,0.960591679,-0.024042565,0.423118079,1.062738862,0.14936416,0.314921447,0.937332809,C4,RAB11FIP1,ENSG00000156675.15
FBXO32,-0.935872955,-1.259042461,-0.516543448,-0.86616507,-0.799851908,-0.549637547,-0.253983739,-0.4404775,-0.574584678,-1.897377244,-0.229861337,0.143770983,-0.278243929,0.233726441,1.014742229,0.594777148,0.585039304,1.584722544,1.242119183,1.229191001,1.973552983,C5,FBXO32,ENSG00000156804.7
ITGAD,0.104132518,1.25517979,1.748409401,-1.249429435,0.30278051,0.926001002,-0.404181392,0.562618887,1.045330102,-2.075933594,-1.769412647,-0.861942386,-0.303132427,0.002729645,0.938343081,-0.510620056,-0.316603295,0.621264228,-0.61089538,-0.342978382,0.938339829,C4,ITGAD,ENSG00000156886.11
EIF4A2,0.771504287,-0.824028437,-0.045570147,0.598915047,-0.861209175,-0.548860636,0.764784714,-0.72576832,-0.751973364,-2.219303977,-1.820361362,-0.841489792,1.360190852,0.885295307,0.059705972,1.336537051,0.407583267,0.626131697,1.171885944,0.075636747,0.580394326,C1,EIF4A2,ENSG00000156976.16
ZFYVE9,0.139603701,-0.296886285,-1.195176571,-0.687325852,-0.997431759,-1.070310602,-0.228386619,-0.394058513,-1.243075643,0.853778126,2.021295671,2.870416576,0.027905962,-0.338964477,0.386910393,-0.162516282,0.697137715,-0.197259998,0.002106816,0.230306439,-0.418068798,C1,ZFYVE9,ENSG00000157077.14
FCHO2,-0.894564918,-0.658302911,-1.041809651,-0.920976453,-0.685994727,-0.455418065,-0.733340667,-0.374348413,-0.427225165,-0.099820058,1.524168783,3.090535791,0.007612948,-0.478670857,-0.015195009,0.821148529,-0.500442998,0.04806752,1.041711464,-0.28873679,1.041601646,C3,FCHO2,ENSG00000157107.13
LRP8,0.066454081,1.05054713,0.119589662,-0.235501253,1.082322899,0.361134274,0.193860906,1.162096546,0.258572049,-2.676472418,-2.218524625,-1.201063404,0.223632332,0.766485532,0.102867314,0.004330157,0.753159713,-0.414666524,0.274635782,0.877924779,-0.551384933,C4,LRP8,ENSG00000157193.15
CLDN12,-0.747136827,-0.509348742,-0.06637095,-0.896260382,-0.645803941,-0.645152799,-0.930730384,-0.983743693,-0.209920014,-1.675144118,-1.079440841,-0.524834803,1.475709938,1.698856172,0.297546541,1.329745082,0.645405987,0.84552985,1.586893553,0.122464437,0.911735932,C3,CLDN12,ENSG00000157224.15
TMED6,0.87011671,-0.169591605,-0.898257301,1.317443702,0.51939103,-1.396618045,0.622359002,-0.044896981,-0.875556114,2.401478661,0.82980283,-0.576907192,-0.94147306,0.915679783,0.166127498,-0.525035389,0.711256218,-0.212979025,-1.830243159,-0.748195393,-0.133902172,C2,TMED6,ENSG00000157315.4
ARMC12,-0.689273797,-1.436753363,-1.166486478,-0.583351924,-0.571982711,-1.744442001,-0.364684378,-0.038048453,-1.301579853,-0.247681732,0.914664879,-0.104887523,0.522694842,0.792031572,-0.530206481,1.309726572,1.226050181,0.315037763,1.428230042,1.652187518,0.618755324,C3,ARMC12,ENSG00000157343.8
CACNA1D,-0.804450935,1.447370954,0.343674289,-0.768504244,1.987663355,1.940488206,-0.273644556,0.355053323,2.013978053,-0.927638791,-0.8401792,-0.660169962,-0.892842918,-0.808187987,-0.281003188,-0.488510084,-0.675107507,-0.465360132,0.023996531,0.118147349,-0.344772556,C4,CACNA1D,ENSG00000157388.15
KIT,1.217285342,2.084531827,2.03747165,0.142689173,0.863585828,0.072959672,0.517787022,1.081139231,0.229417684,-1.314226228,-1.206087658,-0.911775519,-0.431427106,0.324164152,-0.32076928,-0.714592129,-0.577339678,-0.593715202,-1.042156422,-0.672433605,-0.786508754,C2,KIT,ENSG00000157404.15
MYO1E,0.130736445,0.386187367,0.669135794,-0.127884256,-0.146847012,0.391951015,-0.077930529,0.178240968,0.47882818,-2.537343899,-2.403822266,-1.857005058,0.823853117,0.775623264,0.816026558,0.372592224,0.067424541,0.627263469,0.555040869,0.231705906,0.646223303,C4,MYO1E,ENSG00000157483.8
TSC22D3,-1.188158902,-1.323646075,0.169620102,-1.050967338,-1.451277531,-0.09741392,-0.873907081,-1.180784207,-0.076573689,1.137923368,1.814043213,1.605951741,-0.272899821,-0.207360357,0.823401865,-0.312582942,-0.054554001,1.287401194,-0.099117093,0.04980408,1.301097394,C5,TSC22D3,ENSG00000157514.16
KCNJ15,-0.098487302,0.081199769,1.797487513,-0.40980296,-0.449789487,2.307240313,-0.757014128,-0.751511712,1.599117755,-1.034509947,0.398284326,1.654449751,-0.431284916,-0.798334143,0.236976919,-0.809762755,-0.881438254,-0.05439304,-0.689154867,-0.76660011,-0.142672725,C4,KCNJ15,ENSG00000157551.17
ETS2,-0.281462971,0.610280864,1.239530655,-0.859753452,0.093875434,0.201989115,-0.844157845,0.136918486,0.281302638,-2.570079223,-1.789833336,-1.098901295,-0.00153884,1.000277293,1.029749747,-0.313798956,0.769953587,1.064858238,-0.333878489,0.751592883,0.913075468,C4,ETS2,ENSG00000157557.11
TSPAN18,0.975466135,0.286705565,0.938332625,1.046046191,0.738276284,1.33412467,1.335100701,1.172282735,0.902762555,-0.402243892,0.030018286,0.774466002,-1.03271775,-0.86065349,-1.272971517,-0.343754789,-1.182310242,-1.250718537,-1.211686174,-0.950141093,-1.026384265,C2,TSPAN18,ENSG00000157570.11
MX1,-1.320231372,0.900133522,1.096031361,-0.347784635,1.019296578,0.132720171,-1.619224956,0.595707414,-0.13466305,-0.042400832,0.143915407,-0.034273361,0.357753151,0.019395652,-0.529672187,2.165255623,1.500529088,-0.218064816,-1.283890037,-0.951957572,-1.448575149,C4,MX1,ENSG00000157601.13
C2CD2,0.587397906,-0.804599019,-0.648855327,0.773480584,-1.283810502,-1.075446587,0.7737246,-1.639390187,-1.282168904,0.328888127,1.043986244,0.667295837,1.631856601,1.187202498,-1.135778885,1.697068064,0.076992,0.062889196,-0.144120501,-0.366723911,-0.449887833,C1,C2CD2,ENSG00000157617.16
DGKI,-0.765705333,-0.634590451,-0.652913686,-0.824052343,-0.760600134,-0.772440722,-0.826056508,-0.754663855,-0.722716669,-0.954407613,-0.941417724,-0.954407613,1.23375992,1.412368842,1.286749079,-0.07417374,0.709107184,0.829679446,1.540197202,1.483325791,1.142958927,C3,DGKI,ENSG00000157680.15
FMNL2,-0.850387773,-1.139965441,-0.682193388,-0.3437074,-0.433002949,-0.121418787,-0.592045853,-0.776929986,-0.715518712,-0.957922565,-0.901204562,-0.668930755,-0.147227363,-0.175027701,0.126435264,1.05450753,0.636099269,2.275311539,1.36618807,1.150737763,1.896203801,C3,FMNL2,ENSG00000157827.19
GAREM2,-1.276472962,-0.113198773,1.018434444,-0.750678084,0.261295235,0.983376151,-0.356727529,0.689372992,1.218082548,-1.850801821,-0.848494842,0.814150533,-1.510270044,-0.733527737,1.671084491,-0.505796455,-0.270783185,0.823579346,-0.781401194,0.287987314,1.230789573,C4,GAREM2,ENSG00000157833.12
SKI,0.073069738,0.352750574,1.890396889,-0.189459189,0.575297793,2.0372818,-0.132802466,0.656737494,1.682731216,-1.817789175,-0.31983222,0.635804892,-0.762316474,-1.034374086,-0.309743372,-0.556015929,-0.767523383,0.077223461,-0.950126071,-1.061870092,-0.0794414,C2,SKI,ENSG00000157933.9
LDLRAP1,1.103367524,-0.377044046,-0.351802811,1.1378423,-0.55310012,-0.281844121,1.12673198,0.035303154,-0.038724031,1.418973884,1.969298604,1.889067441,-0.558932803,-1.031166115,-0.832148936,-0.417945555,-1.220756276,-1.009299525,-0.741764309,-0.614500431,-0.651555809,C2,LDLRAP1,ENSG00000157978.11
AGAP1,-0.779826058,-0.792797245,-0.819660208,-0.935726212,-0.489986514,-0.414338759,-0.697658354,-1.189241091,-0.725685374,0.676804996,1.687306799,3.028840471,0.42787799,-0.233616896,0.558743666,-0.553342611,0.276315964,0.552106183,0.566853991,0.33398654,-0.476957279,C3,AGAP1,ENSG00000157985.18
KRTCAP3,0.621567591,-0.76743326,0.969150549,0.600970413,0.091677255,-0.225376827,0.776517181,-1.798359598,-0.48340778,0.741048199,2.054637138,-0.103538607,-0.191853407,1.576091643,-0.838776971,-0.641127459,-0.914363978,-1.275888742,-0.606884914,1.270439027,-0.855087452,C1,KRTCAP3,ENSG00000157992.12
DUSP2,-1.05087166,-0.908438278,-0.248984479,-0.416706289,-1.183022049,-0.377858737,0.082185571,-1.19760753,-0.022823949,1.85019418,2.016237781,2.500621698,-0.570779968,-0.047127351,-0.307884155,-0.208314513,0.311259512,-0.343249327,0.367904663,0.240378268,-0.485113389,C1,DUSP2,ENSG00000158050.4
GRHL3,-0.427551084,-0.704600423,-0.816594813,-0.586998762,-0.525799644,-0.685961958,-0.816594813,0.900535052,-0.816594813,-0.816594813,-0.816594813,-0.816594813,-0.320500104,-0.332827789,0.195189995,2.750421406,1.544701945,1.312281324,0.956957572,0.756542769,0.067178579,C3,GRHL3,ENSG00000158055.15
UBXN11,0.552562985,-0.694013933,0.923429949,0.293015364,-0.148777496,0.258851274,1.537576995,1.062617886,0.015436486,2.289303764,-0.514317917,1.0798029,-1.024382252,-0.60654255,0.349320082,-1.233039519,-0.742171751,-0.538734774,-1.422758286,-1.447510419,0.010331213,C2,UBXN11,ENSG00000158062.20
NLRP14,-0.582522595,-0.498382503,-0.72226519,-0.936186217,-0.31391295,-0.790380258,-0.812027696,-0.647466824,-0.684229077,-1.054098253,-1.054098253,-0.71700027,1.379347221,0.547705094,1.771135042,0.242594728,0.147154848,2.398226194,0.647795284,0.776779316,0.901832363,C5,NLRP14,ENSG00000158077.4
RHPN1,0.996009954,-1.820217406,-1.217345654,1.270886119,-0.581567113,-0.967631938,1.698912134,0.151490895,-0.908648495,0.439380807,1.187213323,0.996982734,-0.197423528,-0.132109562,-1.349907799,1.189019655,-0.271618375,-0.901052614,0.806334787,0.015308268,-0.404016195,C1,RHPN1,ENSG00000158106.13
XKR8,1.571038287,-0.359785086,-0.229436141,1.903977869,-0.10709179,-0.215961795,0.854167065,0.354975017,-1.120132029,-0.371054776,1.470022391,1.686461598,-1.582117905,-1.628887909,0.196828053,-0.076095662,-0.711405367,-0.317602909,-0.34354753,-0.567265778,-0.407085605,C2,XKR8,ENSG00000158156.7
RNF207,0.015485628,-0.190604279,0.36345417,-0.721529873,-0.28092117,-0.29519541,-1.074631912,-0.684636757,-0.148391382,-1.724262448,-1.948788655,-1.482235429,1.384026733,0.390471128,1.100811637,0.926201204,1.187019811,0.652461897,0.795213302,1.326038042,0.410013763,C3,RNF207,ENSG00000158286.12
AUTS2,-0.293563131,-0.238979734,1.435798072,-0.31043517,-0.577245858,0.700999149,-0.626872621,-0.351990848,0.911986342,1.28812596,1.667519399,2.348896717,-0.936307978,-1.069982799,-0.573483052,-0.568466589,-1.026642876,0.139574807,-0.915559683,-0.991452653,-0.011917454,C2,AUTS2,ENSG00000158321.15
HIST1H2BD,-0.016615959,1.328548713,-0.527964267,0.198407634,-0.101425484,-0.249568987,-0.212625251,-0.002035202,-0.604766155,-2.33368169,1.220343005,1.639756733,-1.214455645,0.204537153,0.054817856,-0.724151211,0.029394614,0.723121493,-1.368720623,0.126325963,1.830757311,C4,HIST1H2BD,ENSG00000158373.8
CDC25C,0.396972157,0.099077468,-0.319546417,0.611584804,0.250743588,-0.030606139,0.528362457,0.294858511,-0.033654117,-2.394545112,-2.308151296,-2.076881631,0.841485221,0.668769915,0.360889009,0.94595238,0.523996523,0.159428303,0.906713078,0.490947521,0.083603778,C1,CDC25C,ENSG00000158402.18
RIBC1,-0.721886817,0.640811478,0.891968152,-0.350642834,-0.494423256,1.235489054,-1.083090049,0.501610095,1.659026401,0.754341121,0.8109048,-0.280364089,-1.385510895,-1.340953785,0.603889983,-1.328793299,-0.573339619,0.353913344,-1.545377678,0.177780411,1.474647481,C4,RIBC1,ENSG00000158423.16
TMSB15B,1.006629757,1.20931938,-0.671439266,0.261854825,-0.001487108,-0.766975982,0.862449894,0.565631072,-1.821005151,-1.14245048,-1.325595268,-1.423506056,0.875487071,1.604061914,-0.678614947,0.593826098,1.352370317,-0.166205231,-0.105701352,0.557063381,-0.785712869,C1,TMSB15B,ENSG00000158427.14
KCNB1,-0.56081185,2.023908732,-0.47811062,-0.547190464,-0.504584606,-0.507206326,-0.552577151,1.724688106,-0.505322929,-0.600042658,-0.579432957,-0.453737185,-0.514065828,-0.544622426,-0.489483323,1.060141596,-0.547770687,2.447529474,-0.512785926,-0.524536299,1.166013325,C4,KCNB1,ENSG00000158445.9
AHCYL2,-0.608007772,-1.226748854,-0.88869411,-0.661204516,-0.445905873,-0.685633827,-0.227225778,-0.222946987,-0.793428853,-2.255120593,-0.791942593,0.36330343,0.529799839,-0.070181939,1.166410791,0.995175053,1.172417867,1.229200064,1.447883809,1.197951637,0.774899205,C3,AHCYL2,ENSG00000158467.16
HMHB1,-0.256434297,-0.049420267,2.068785371,-0.625253606,1.07636187,1.096797975,-1.089212994,-0.679994655,1.81011941,-1.089212994,-1.089212994,-1.089212994,0.395096368,-1.089212994,0.967612095,-0.271756531,0.757270405,-0.019057481,-0.232820408,-1.089212994,0.497971715,C4,HMHB1,ENSG00000158497.3
NCF1,1.333085004,-1.085047761,-0.290882028,0.750891598,-1.242874039,-0.275052637,0.714366608,-0.969392848,-0.633219815,0.884830123,1.619776263,1.68832087,0.306180876,-1.816872913,-0.654414315,0.718841505,-0.719746802,0.462584233,0.533426682,-0.196137538,-1.128663066,C1,NCF1,ENSG00000158517.13
COPG2,0.08678635,0.004632087,-0.222298504,-0.3793211,-0.248420378,-0.548609605,-0.31282652,-0.338655389,0.049327169,-2.478194591,-1.77930398,-1.633773827,0.860047174,0.968298726,1.239869629,0.459794038,0.711276976,0.572227022,0.977760776,1.063627046,0.947756901,C5,COPG2,ENSG00000158623.14
RNF166,0.275099462,-0.228007282,-0.116292315,0.340470998,0.15549359,0.202895912,0.366199258,0.376378817,0.004405506,2.04249745,2.121429891,2.012480076,-0.688687106,-0.767580058,-1.074635782,-0.393376905,-0.829522737,-0.90026554,-0.965508641,-0.910110974,-1.02336362,C2,RNF166,ENSG00000158717.10
F11R,-0.391322821,-0.465006966,-2.082868721,-0.010370937,0.139231331,-1.680884509,0.154995854,0.097979903,-1.316607734,-0.797933017,0.024529662,-0.634774504,0.823289528,0.295064795,-0.641575598,1.385695197,0.745647607,0.231726768,1.729231701,0.99944572,1.394506743,C3,F11R,ENSG00000158769.17
FCER1G,1.1562687,0.274578119,0.082129012,-0.040934969,-1.045102818,-2.2226673,1.563670301,0.150030766,-0.195990364,-0.42272695,0.970858874,1.929067646,-0.012703632,0.467978873,0.166515345,0.187735937,-1.583326586,-1.548433682,-0.02276538,0.060099187,0.085718921,C1,FCER1G,ENSG00000158869.10
EPB41,1.485998441,0.308899347,0.943166641,0.749694715,0.065687519,0.824398409,1.446631965,0.537033869,0.620941404,-2.976920852,-0.964862589,0.883110817,0.056559492,-0.428314936,-0.587520268,-0.231593919,-0.486423873,-0.315294885,-0.505151873,-0.830826054,-0.595213371,C2,EPB41,ENSG00000159023.19
IFNAR2,1.647613093,0.448455586,0.251471016,1.060692093,0.24878279,-0.561539167,1.305184221,0.621632264,-0.621464121,-3.118477959,-0.866392243,0.145807981,0.59806549,0.611085418,-0.623614376,0.594852431,-0.196675396,-0.509217141,-0.17397898,8.57E-05,-0.862368669,C1,IFNAR2,ENSG00000159110.19
IFNGR2,0.106819071,-1.751481303,0.131173923,0.91947495,-0.648963152,-0.685264953,0.310429948,-0.625922279,-1.223186565,1.598611085,1.332790867,1.503865659,0.247111807,0.064716402,-1.089441737,1.51844263,0.382710012,-0.969569514,0.627701908,-0.774857026,-0.975161733,C1,IFNGR2,ENSG00000159128.14
HOXB13,0.76744809,1.382668223,-0.389970084,1.252464965,0.39967509,-0.633519674,1.342718608,1.083964956,-0.891884651,-2.211222478,-2.117302844,0.342806847,0.476445277,-0.495011428,0.186603656,-0.28068447,0.498649438,-0.443553238,-0.687402645,0.634905245,-0.217798884,C2,HOXB13,ENSG00000159184.7
RCAN1,-0.604404081,-0.446609833,-0.37020594,-0.814533672,-0.573548728,-0.715703666,-0.600100656,0.045268994,-0.080426788,-1.804077629,-1.752459963,-1.149264907,0.502960398,1.003489442,0.825797243,0.37151388,1.116081634,1.034910979,1.229488736,1.410254471,1.371570087,C5,RCAN1,ENSG00000159200.17
CIART,0.554943417,-1.243766895,-1.302882215,0.017666565,-0.874991828,-0.939177478,0.362044011,-0.927409402,-0.913551673,0.483550501,0.195097583,-0.215020181,1.376776507,-0.365329542,0.290363986,1.668195463,-0.723020023,-0.232674297,2.65888891,-0.163437861,0.293734452,C1,CIART,ENSG00000159208.15
ACTC1,-0.871318267,-0.871318267,0.762449943,-0.871318267,-0.871318267,0.595779863,-0.871318267,-0.871318267,1.425146099,-0.871318267,-0.836341572,-0.871318267,-0.871318267,1.602715473,1.03504369,-0.765520254,0.666041583,0.784477722,-0.282400393,1.602795135,1.251677117,C5,ACTC1,ENSG00000159251.6
