,CD19_Donor76_Day11,CD19_Donor76_Day15,CD19_Donor76_Day21,CD19_Donor86_Day11,CD19_Donor86_Day15,CD19_Donor86_Day21,CD19_Donor90_Day11,CD19_Donor90_Day15,CD19_Donor90_Day21,Control_Donor76_Day0,Control_Donor86_Day0,Control_Donor90_Day0,HA_Donor76_Day11,HA_Donor76_Day15,HA_Donor76_Day21,HA_Donor86_Day11,HA_Donor86_Day15,HA_Donor86_Day21,HA_Donor90_Day11,HA_Donor90_Day15,HA_Donor90_Day21,cluster,Genesymbol,
PHTF2,0.025439477,1.756513608,1.656835358,-0.730522678,1.054963625,0.895714056,-0.106341283,1.048185046,0.664297263,-2.16921169,-1.954685808,-1.023012241,0.104122866,0.101823125,0.235712461,-0.195976079,-0.154359176,-0.054148184,-0.462546969,-0.34630168,-0.346501094,C4,PHTF2,ENSG00000006576.16
FARP2,-0.098136893,1.171922838,0.92612936,-1.090088127,0.258271724,-0.002918259,-0.906610379,1.044826444,0.371006561,-2.881229595,-1.631634112,-0.845297265,0.103191686,0.557208027,0.788893825,-0.35289329,0.800554254,0.455365722,0.122728729,0.841989983,0.366718768,C4,FARP2,ENSG00000006607.13
GTF2IRD1,0.188849329,-0.645124675,-1.15312208,-0.988358211,-0.644373518,-0.713651119,-0.598552501,-0.699369193,-1.183504539,-1.057938145,-0.956231249,-0.78665278,0.725130813,1.221360779,0.0931457,0.86130811,1.18057067,0.96206478,1.564524678,1.774976487,0.854946665,C3,GTF2IRD1,ENSG00000006704.10
CDKL3,0.577043041,-0.195842306,-0.52392843,1.531622704,-0.174430878,-1.533787047,-0.022508868,-0.88379409,-0.889659238,-0.332218247,-0.747438241,-0.164490466,0.335582101,1.485944565,-1.618109827,2.035261434,-0.659413365,-0.187190341,1.603919798,0.4702526,-0.106814899,C1,CDKL3,ENSG00000006837.11
PROM1,-0.888059334,-0.771595774,-1.019837869,-0.890858178,-0.959491393,-0.946437107,-0.783210186,-0.851149008,0.509400927,-1.019837869,0.286619456,1.470620677,1.517306178,0.470038911,-0.017591602,1.020627936,2.456370483,0.647234687,0.059464021,-0.043985248,-0.245629707,C3,PROM1,ENSG00000007062.11
CEACAM21,1.192381402,0.803186893,-1.006763296,1.482259803,-0.188141804,-0.319323785,1.485442838,1.33368937,-0.065841166,0.38431198,1.162478275,0.8409462,-0.01852951,-0.675140604,-0.443135726,-1.793624768,-1.109428184,-0.243788604,-0.463771254,-0.835048045,-1.522160016,C2,CEACAM21,ENSG00000007129.17
GAS7,-0.916315212,-0.249198791,1.802579956,-0.626248728,-0.507538176,0.325638492,-0.763798859,-0.563761779,-0.07955294,0.005747285,1.612988593,3.192788422,-0.077404835,-0.511122917,-0.3314745,-0.33663869,-0.366807037,-0.518277857,-0.362166745,-0.587360783,-0.142074897,C4,GAS7,ENSG00000007237.18
MATK,0.149204345,0.516941794,1.190415793,0.260851836,0.563297049,0.858318225,-0.070646023,0.448940274,0.640938087,1.248015199,1.387336761,1.825651269,-0.859656334,-1.030748641,-0.943203946,-0.581752948,-0.972191566,-0.942051738,-0.760456248,-1.400472064,-1.528731123,C2,MATK,ENSG00000007264.14
CACNA2D2,-0.551458828,-1.099493351,-1.445347223,-0.151902401,-0.988055822,-1.425479516,-0.30088697,-0.947189713,-1.136990504,-0.891862835,-0.419574639,1.477449699,0.634910056,0.998697227,0.130278372,1.413002269,1.002321421,0.765589494,1.021787531,0.797544019,1.116661713,C3,CACNA2D2,ENSG00000007402.11
TEAD3,-1.146618509,-1.033217176,-1.081352874,-0.268841149,-1.087525253,-0.783506379,0.038090725,-0.245703626,-0.619348272,-0.860906449,-0.865590364,-0.365324501,0.094786127,0.637179256,0.174895255,2.155469962,0.861238105,-0.019503365,1.709033706,1.138324772,1.56842001,C3,TEAD3,ENSG00000007866.19
MYLIP,-0.232778712,-0.978108185,-1.020118081,-0.215716085,-1.057083198,-0.374066843,0.41177118,-0.281146181,-0.424760298,1.261344322,2.229444854,2.775811769,-0.340786545,-0.348270961,-0.330535709,-0.457821979,-0.803357394,-0.051835814,-0.26980516,-0.267118563,0.774937582,C1,MYLIP,ENSG00000007944.14
E2F2,1.066910546,0.785703771,0.640061174,0.623923432,0.661852902,0.771285212,1.00081987,0.84438761,0.844414737,-2.39305834,-2.184734658,-1.689085456,0.039269203,0.150325863,0.151588686,0.207740334,-0.107091439,-0.208719512,-0.424339776,-0.417657238,-0.363596922,C2,E2F2,ENSG00000007968.6
DLEC1,0.599647134,0.158876936,-0.54133484,0.689839277,0.265235847,-0.001234622,0.953382411,1.54427216,0.072059494,0.636622609,1.056058804,2.250797188,-1.52143064,-0.062524072,-1.461034712,-1.293338135,-0.484699047,-1.132253047,-0.775528372,-0.16728489,-0.786129483,C2,DLEC1,ENSG00000008226.19
RHOBTB2,0.706951153,0.595552444,1.222005295,0.028150608,0.330964501,0.181762046,0.051241636,0.462174368,0.63193381,-1.557699918,0.832328511,1.421596979,-1.845419277,-0.411569724,1.443560055,-1.55028827,-1.064206513,0.241009667,-1.577877271,-0.054979851,-0.08719025,C2,RHOBTB2,ENSG00000008853.16
