"","pc1_loadings","pc2_loadings","cartex_200gene"
"PLA2G4A",0.0417617091796288,-0.0244021155482082,"no"
"WLS",0.0446910447978599,0.00328732714562725,"yes"
"RGS2",0.0411044261278575,0.0632670155889822,"yes"
"NID1",0.0347620827360249,-0.0252240051339276,"no"
"ECE1",0.0363142187936626,-0.0681991997025553,"no"
"FASLG",0.0451347850284992,0.0166996890638108,"no"
"TNNT2",0.0339692313148364,0.0435610490459933,"yes"
"TNFAIP3",0.0425374358926712,-0.00353426533751712,"yes"
"RAB32",0.0410410538363919,0.0273406777969524,"yes"
"SPP1",0.0316380926710447,0.0525762619573688,"no"
"ELL2",0.0482442239290991,-0.0155721870914737,"yes"
"DNAH7",0.0188411087099316,0.0235667821034157,"no"
"C1orf198",0.047097512516531,-0.0169366493387647,"no"
"NR4A3",0.0238960143213676,0.0327233179390233,"yes"
"IRF2BPL",0.0301694348189116,0.00258333639454739,"no"
"MLH3",0.0381689532058104,-0.0475129473117331,"no"
"FLVCR2",0.0282852408336549,0.030677833389571,"no"
"IFIT3",0.0268787647319328,0.0240811222493508,"no"
"TCTN3",0.0433070811194084,0.0273485610351311,"no"
"GORAB",0.0305781339288717,0.0696697668193,"no"
"KIAA1217",0.041179077070755,-0.0276520596290352,"no"
"DUSP4",0.0421694392084369,0.0263700625267254,"yes"
"TNFRSF10B",0.0424098038885174,-0.044719206947528,"no"
"RDH10",0.0471051442289671,0.0163165466563684,"yes"
"EPX",0.0341811417632424,-0.00992705363221662,"no"
"TRIM25",0.0330198946054665,-0.05664455897528,"no"
"SCPEP1",0.0340233380307203,-0.0243315278061932,"no"
"DEPDC7",0.0428818336281043,0.0406575585982468,"no"
"ZSCAN20",0.0446028671950417,-0.00490072563498477,"no"
"LRRC39",0.0185309712157041,-0.0125400834077279,"no"
"INHBA",0.041215389227563,0.0578829461510111,"no"
"TWIST1",0.0420686821703487,0.013940028127775,"yes"
"SRGN",0.0464748220008038,-0.00521530907378617,"no"
"EGR2",0.0332177682273246,0.0629595844819217,"yes"
"NR4A1",0.0181381547653,0.0393881555252961,"yes"
"BATF3",0.038908868113383,-0.0652973386607563,"yes"
"G0S2",0.044929200382676,-0.0268716511419394,"yes"
"RAB38",0.0449942910898617,0.023519479781247,"no"
"SDC4",0.0428683841951863,0.00473328429467086,"no"
"MATN4",0.0372046473433482,-0.047869594877497,"no"
"PMEPA1",0.0299531531091266,0.0681180901177952,"no"
"RBPJL",0.0299709435010642,-0.0503452225856827,"no"
"STAMBP",0.0443841509173802,-0.0338950760948548,"no"
"CDKN1A",0.0326510653350074,-0.0280713681594453,"no"
"SOX4",0.0455358130793228,-0.008503695768715,"yes"
"RUNX2",0.0468516463706267,-0.024980131236205,"no"
"MT2A",0.0469660141692006,0.00575100539998548,"yes"
"TNFSF9",0.0381843716379767,0.0171131852983537,"no"
"CD70",0.0398303966809566,-0.0547675780889009,"no"
"C3",0.0456940911830509,-0.0238681082390498,"yes"
"FOSB",0.0284614499227798,0.0879728065138236,"yes"
"PLAGL2",0.0450957820406847,-0.010821833342426,"no"
"IGFLR1",0.0356891217892044,0.0143474266294034,"no"
"RGS13",0.0239276360578172,0.0732629640352547,"no"
"HIVEP3",0.0401306124221592,-0.00254702531263984,"no"
